敵の種類,弾の種類,移動のパターン,弾のパターン,弾のスピード,出現する時刻,停止時間,弾を発射する時刻,帰還する時刻,x座標,ｙ座標,HP,アイテム
3,3,2,3,4,3130,3180,3181,3280,150,-40,1,0
3,3,3,3,4,3130,3180,3181,3280,250,-40,1,0
3,3,2,3,4,3330,3380,3381,3480,100,-40,1,0
3,3,3,3,4,3330,3380,3381,3480,300,-40,1,0
3,3,2,3,4,3530,3580,3581,3680,0,-40,1,1
3,3,3,3,4,3530,3730,3581,3680,400,-40,1,1
0,0,0,0,4,3830,3880,3881,3980,50,-40,1,0
0,0,0,0,4,3880,3930,3931,4030,200,-40,1,0
0,0,0,0,4,3930,3980,3981,4080,350,-40,1,0
1,1,0,1,5,3980,4030,4031,4130,100,-40,1,0
1,1,0,1,5,4030,4080,4081,4180,300,-40,1,0
2,2,1,2,4,4080,4130,4131,4230,200,-40,1,0
2,2,1,2,4,4130,4180,4181,4280,100,-40,1,1
2,2,1,2,4,4180,4230,4231,4330,300,-40,1,0
1,1,2,1,4,4230,4280,4281,4380,150,-40,1,0
1,1,3,1,4,4280,4330,4331,4430,250,-40,1,0
1,1,1,1,4,4330,4380,4381,4480,200,-40,1,0
2,2,0,2,4,4380,4430,4431,4530,50,-40,1,0
2,2,0,2,4,4430,4480,4481,4580,350,-40,1,0
0,0,1,0,6,4480,4530,4531,4630,100,-40,1,1
0,0,1,0,6,4480,4530,4531,4630,300,-40,1,0
3,3,0,3,4,4530,4580,4581,4680,200,-40,1,0
2,2,2,2,4,4580,4630,4631,4730,200,-40,1,0
2,2,3,2,4,4630,4680,4681,4780,200,-40,1,0
2,2,1,2,4,4680,4730,4731,4830,200,-40,1,0
1,1,0,1,5,4730,4780,4781,4880,150,-40,1,0
1,1,0,1,5,4730,4780,4781,4880,250,-40,1,0
0,0,3,0,6,4780,4830,4831,4930,150,-40,1,0
0,0,2,0,6,4780,4830,4831,4930,250,-40,1,1
1,1,0,1,5,4830,4880,4881,4980,120,-40,1,0
1,1,0,1,5,4880,4930,4931,5030,280,-40,1,0
3,3,1,3,4,4930,4980,4981,5080,100,-40,1,1
3,3,1,3,4,4930,4980,4981,5080,300,-40,1,0
2,2,2,2,5,4980,5030,5031,5130,160,-40,1,0
0,0,0,0,5,5030,5080,5081,5180,240,-40,1,0
1,1,0,1,6,5080,5130,5131,5230,100,-40,1,0
1,1,0,1,6,5080,5130,5131,5230,200,-40,1,0
1,1,0,1,6,5080,5130,5131,5230,300,-40,1,1
2,2,1,2,4,5380,5430,5431,5530,200,-40,1,0
2,2,1,2,4,5430,5480,5481,5580,100,-40,1,0
2,2,1,2,4,5430,5480,5481,5580,300,-40,1,0
0,0,2,0,4,5480,5530,5531,5630,300,-40,1,0
0,0,3,0,4,5530,5580,5581,5680,100,-40,1,0
3,3,0,3,4,5580,5630,5631,5730,150,-40,1,0
3,3,0,3,4,5580,5630,5631,5730,250,-40,1,1
1,1,3,1,5,5630,5680,5681,5780,100,-40,1,0
1,1,2,1,5,5680,5730,5731,5830,300,-40,1,0
0,0,1,0,6,5730,5780,5781,5880,50,-40,1,0
0,0,1,0,6,5780,5830,5831,5930,350,-40,1,0
0,0,1,0,6,5830,5880,5881,5980,100,-40,1,0
3,3,0,3,3,5855,5905,5906,6005,40,-40,1,0
3,3,0,3,3,5855,5905,5906,6005,360,-40,1,0
0,0,1,0,6,5880,5930,5931,6030,300,-40,1,1
1,1,1,0,6,5930,5980,5981,6080,150,-40,1,0
1,1,1,0,6,5980,6030,6031,6130,250,-40,1,0
0,0,1,0,6,6030,6080,6081,6180,200,-40,1,0
2,2,0,2,5,6060,6110,6111,6210,50,-40,1,0
2,2,0,2,5,6060,6110,6111,6210,350,-40,1,1
1,1,0,1,5,6180,6230,6231,6330,100,-40,1,0
1,1,0,1,5,6180,6230,6231,6330,200,-40,1,0
1,1,0,1,5,6180,6230,6231,6330,300,-40,1,0
2,2,0,1,5,6230,6280,6281,6380,40,-40,1,0
2,2,0,1,5,6230,6280,6281,6380,120,-40,1,0
2,2,0,1,5,6230,6280,6281,6380,200,-40,1,0
2,2,0,1,5,6230,6280,6281,6380,280,-40,1,0
2,2,0,1,5,6230,6280,6281,6380,360,-40,1,1
1,1,0,1,5,6280,6330,6331,6430,50,-40,1,0
1,1,0,1,5,6330,6380,6381,6480,200,-40,1,0
1,1,0,1,5,6380,6430,6431,6530,350,-40,1,0
1,1,0,1,5,6430,6480,6481,6580,100,-40,1,0
1,1,0,1,5,6480,6530,6531,6630,300,-40,1,1
3,3,2,3,5,6530,6580,6581,6680,150,-40,1,0
3,3,3,3,5,6580,6630,6631,6730,250,-40,1,0
0,0,0,0,7,6630,6680,6681,6780,120,-40,1,0
0,0,0,0,7,6630,6680,6681,6780,200,-40,1,0
0,0,0,0,7,6630,6680,6681,6780,280,-40,1,0
1,1,1,1,5,6680,6730,6731,6780,40,-40,1,0
1,1,1,1,5,6680,6730,6731,6780,360,-40,1,0
2,2,1,2,4,6730,6780,6781,6880,50,-40,1,0
2,2,1,2,4,6730,6780,6781,6880,350,-40,1,0
2,2,1,2,5,6780,6830,6831,6880,100,-40,1,0
2,2,1,2,5,6780,6830,6831,6880,300,-40,1,1
2,2,1,2,5,6830,6880,6881,6980,150,-40,1,0
2,2,1,2,4,6830,6880,6881,6980,250,-40,1,0
2,2,1,2,4,6880,6930,6931,7030,200,-40,1,0
3,3,2,3,4,6930,6980,6981,7080,100,-40,1,0
3,3,3,3,4,6980,7030,7031,7130,300,-40,1,1
1,1,2,0,6,7030,7080,7081,7180,300,-40,1,0
1,1,3,0,6,7080,7130,7131,7230,100,-40,1,0
