敵の種類,弾の種類,移動のパターン,弾のパターン,弾のスピード,出現する時刻,停止時間,弾を発射する時刻,帰還する時刻,x座標,ｙ座標,HP,アイテム
2,2,1,2,4,4500,4550,4551,4650,200,-40,1,0
2,2,1,2,4,4550,4600,4601,4700,100,-40,1,1
2,2,1,2,4,4600,4650,4651,4750,300,-40,1,0
1,1,2,1,4,4650,4700,4701,4800,150,-40,1,0
1,1,3,1,4,4700,4750,4751,4850,250,-40,1,0
1,1,1,1,4,4750,4800,4801,4900,200,-40,1,0
2,2,0,2,4,4800,4850,4851,4950,50,-40,1,0
2,2,0,2,4,4850,4900,4901,5000,350,-40,1,0
0,0,1,0,6,4900,4950,4951,5050,100,-40,1,1
0,0,1,0,6,4900,4950,4951,5050,300,-40,1,0
2,2,0,3,4,4950,5000,5001,5100,200,-40,1,0
2,2,2,2,4,5000,5050,5051,5150,200,-40,1,0
2,2,3,2,4,5050,5100,5101,5200,200,-40,1,0
2,2,1,2,4,5100,5150,5151,5250,200,-40,1,0
1,1,0,1,5,5150,5200,5201,5300,150,-40,1,0
1,1,0,1,5,5150,5200,5201,5300,250,-40,1,0
0,0,3,0,6,5200,5250,5251,5350,150,-40,1,0
0,0,2,0,6,5200,5250,5251,5350,250,-40,1,1
1,1,0,1,5,5250,5300,5301,5400,120,-40,1,0
1,1,0,1,5,5300,5350,5351,5450,280,-40,1,0
0,0,1,3,4,5350,5400,5401,5500,100,-40,1,1
0,0,1,3,4,5350,5400,5401,5500,300,-40,1,0
2,2,2,2,5,5400,5450,5451,5550,160,-40,1,0
0,0,0,0,5,5450,5500,5501,5600,240,-40,1,0
1,1,0,1,6,5500,5550,5551,5650,100,-40,1,0
1,1,0,1,6,5500,5550,5551,5650,200,-40,1,0
1,1,0,1,6,5500,5550,5551,5650,300,-40,1,1
2,2,1,2,4,5800,5850,5851,5950,200,-40,1,0
2,2,1,2,4,5850,5900,5901,6000,100,-40,1,0
2,2,1,2,4,5850,5900,5901,6000,300,-40,1,0
0,0,2,0,4,5900,5950,5951,6050,300,-40,1,0
0,0,3,0,4,5950,6000,6001,6100,100,-40,1,0
2,2,0,3,4,6000,6050,6051,6150,150,-40,1,0
2,2,0,3,4,6000,6050,6051,6150,250,-40,1,1
1,1,3,1,5,6050,6100,6101,6200,100,-40,1,0
1,1,2,1,5,6100,6150,6151,6250,300,-40,1,0
0,0,1,0,6,6150,6200,6201,6300,50,-40,1,0
0,0,1,0,6,6200,6250,6251,6350,350,-40,1,0
0,0,1,0,6,6250,6300,6301,6400,100,-40,1,0
1,1,0,3,3,6275,6325,6326,6425,40,-40,1,0
1,1,0,3,3,6275,6325,6326,6425,360,-40,1,0
0,0,1,0,6,6300,6350,6351,6450,300,-40,1,1
0,0,1,0,6,6350,6400,6401,6500,150,-40,1,0
0,0,1,0,6,6400,6450,6451,6550,250,-40,1,0
0,0,1,0,6,6450,6500,6501,6600,200,-40,1,0
2,2,0,2,5,6480,6530,6531,6630,50,-40,1,0
2,2,0,2,5,6480,6530,6531,6630,350,-40,1,1
1,1,0,1,5,6600,6650,6651,6750,100,-40,1,0
1,1,0,1,5,6600,6650,6651,6750,200,-40,1,0
1,1,0,1,5,6600,6650,6651,6750,300,-40,1,0
1,1,0,1,5,6650,6700,6701,6800,40,-40,1,0
1,1,0,1,5,6650,6700,6701,6800,120,-40,1,0
1,1,0,1,5,6650,6700,6701,6800,200,-40,1,0
1,1,0,1,5,6650,6700,6701,6800,280,-40,1,0
1,1,0,1,5,6650,6700,6701,6800,360,-40,1,1
1,1,0,1,5,6700,6750,6751,6850,50,-40,1,0
1,1,0,1,5,6750,6800,6801,6900,200,-40,1,0
1,1,0,1,5,6800,6850,6851,6950,350,-40,1,0
1,1,0,1,5,6850,6900,6901,7000,100,-40,1,0
1,1,0,1,5,6900,6950,6951,7050,300,-40,1,1
2,2,2,3,5,6950,7000,7001,7100,150,-40,1,0
2,2,3,3,5,7000,7050,7051,7150,250,-40,1,0
0,0,0,0,7,7050,7100,7101,7200,120,-40,1,0
0,0,0,0,7,7050,7100,7101,7200,200,-40,1,0
0,0,0,0,7,7050,7100,7101,7200,280,-40,1,0
1,1,1,1,5,7100,7150,7151,7200,40,-40,1,0
1,1,1,1,5,7450,7500,7501,7550,360,-40,1,0
1,1,1,1,5,7450,7500,7501,7550,360,-40,1,0
1,1,1,1,5,7450,7500,7501,7550,360,-40,1,0
1,1,1,1,5,7450,7500,7501,7550,360,-40,1,0
1,1,1,1,5,7450,7500,7501,7550,360,-40,1,0
1,1,1,1,5,7450,7500,7501,7550,360,-40,1,0
1,1,1,1,5,7450,7500,7501,7550,360,-40,1,0
1,1,1,1,5,7450,7500,7501,7550,360,-40,1,0
1,1,1,1,5,7450,7500,7501,7550,360,-40,1,0
1,1,1,1,5,7450,7500,7501,7550,360,-40,1,0
1,1,1,1,5,7450,7500,7501,7550,360,-40,1,0
1,1,1,1,5,7450,7500,7501,7550,360,-40,1,0
